Intersection,Latitude,Longitude,District,County,AnnualEst,logAnnualEst,PopT,WalkComT,HseHldT,PrincArt,MinorArt,Collector,Int4way,SchoolsT,Signal,MaxSlope,EmpSF_T,EmpT,StMetersT,StSegT
SPRING STREET & ARCADIA STREET,34.056497,-118.241138,7,Los Angeles,910807,13.7220863,314.5794336,17.57295861,119.9274686,1,0,0,1,0,1,0.1125,107500,1180,13314.38305,192
MAIN STREET & ARCADIA STREET,34.055835,-118.240037,7,Los Angeles,1297648,14.07606395,317.5826771,17.8115319,121.5108564,0,1,0,1,0,1,0.0609,256250,1352,14298.25563,205
SPRING STREET & ALISO STREET,34.056094,-118.241514,7,Los Angeles,740482,13.51505661,237.7530783,11.4699941,79.42268189,1,0,0,1,0,1,0.119,70000,1130,12878.04348,181
MAIN STREET & ALISO STREET,34.0554,-118.240437,7,Los Angeles,1172069,13.97428112,235.1690116,11.26471893,78.06029083,0,1,0,1,0,1,0.0769,230000,1310,14175.65825,194
HILL STREET & 4TH STREET,34.050221,-118.250429,7,Los Angeles,2749855,14.82705874,623.6455293,84.34206993,448.4310219,1,1,0,1,0,1,0.1005,356250,1498,8466.539941,108
OLIVE STREET & 4TH STREET,34.05091,-118.2515,7,Los Angeles,3431281,15.04844422,503.3379203,57.04463996,372.7569481,1,1,0,1,0,1,0.1635,1481250,3592,8752.130303,116
BROADWAY & 4TH STREET,34.049521,-118.249359,7,Los Angeles,6139733,15.63029181,750.6829508,110.6538251,530.5006368,1,1,0,1,0,1,0.011,847500,4825,8684.21595,102
SPRING STREET & 4TH STREET,34.04882,-118.248293,7,Los Angeles,2634271,14.78411704,812.9103571,106.3408506,585.505224,1,1,0,1,0,1,0.0124,588750,4786,8804.846264,101
MAIN STREET & 4TH STREET,34.048123,-118.247194,7,Los Angeles,1783783,14.39424695,849.0931809,95.33933176,616.4526997,1,1,0,1,0,1,0.0259,668750,1978,9743.606045,106
LOS ANGELES STREET & FOURTH STREET,34.047247,-118.246183,7,Los Angeles,2860263,14.86642414,719.5640438,58.20234737,445.3953679,1,1,0,1,0,1,0.0368,786250,895,10381.52897,114
SAN PEDRO STREET & FOURTH STREET,34.045843,-118.243002,7,Los Angeles,936789,13.75021335,500.2347619,17.46014345,266.7841989,2,0,0,1,0,1,0.0067,792500,819,10572.80833,120
CENTRAL AVENUE & FOURTH STREET,34.043789,-118.239701,7,Los Angeles,412822,12.93077179,413.9778711,14.54578641,252.3492628,2,0,0,1,0,1,0.0091,83750,291,10552.68948,110
ALAMEDA STREET & FOURTH STREET,34.043273,-118.238112,7,Los Angeles,460455,13.03997041,277.1467842,7.235453812,148.4452089,2,0,0,1,0,0,0.0068,461250,430,10271.63406,108
HESPERIAN BOULEVARD & PASEO GRANDE,37.679407,-122.126748,4,Alameda,119812,11.69367913,306.4877399,0.135641772,89.4964039,1,0,1,1,0,0,0.0059,72500,193,11978.15104,98
HESPERIAN BOULEVARD & POST OFFICE ROAD,37.681363,-122.128011,4,Alameda,64415,11.07310182,271.1249703,0.002665401,81.25266301,1,0,0,0,0,0,0.0084,136250,453,11603.03723,115
HESPERIAN BOULEVARD & GRANT AVENUE,37.682817,-122.128958,4,Alameda,83739,11.33546011,302.3346727,1.558549394,88.57522338,1,1,0,0,0,0,0.0067,50000,148,10656.03943,109
INTERNATIONAL BOULEVARD & 1ST AVENUE,37.79872,-122.25724,4,Alameda,615883,13.33081229,796.7410462,32.89158303,466.330797,1,0,0,0,0,1,0.0168,31250,67,9783.336476,134
EAST 12TH STREET & 2ND AVENUE,37.797293,-122.257304,4,Alameda,422860,12.95479644,746.3025908,23.09390963,342.2634863,0,0,0,0,2,0,0.0491,37500,100,9874.758671,133
INTERNATIONAL BOULEVARD & 2ND AVENUE,37.79795,-122.25641,4,Alameda,645993,13.37854395,856.9604752,31.36539922,469.4728051,1,0,0,1,0,1,0.0338,40000,84,10907.33246,148
EAST 12TH STREET & 4TH AVENUE,37.795809,-122.25563,4,Alameda,276658,12.53053737,740.4362718,18.6223127,321.7163647,1,0,0,1,0,0,0.01,63750,185,11068.22619,145
INTERNATIONAL BOULEVARD & 4TH AVENUE,37.79652,-122.25474,4,Alameda,369530,12.81998721,850.3213908,15.07926251,408.8609843,1,0,0,1,0,1,0.0158,48750,102,12037.28886,155
EAST 12TH STREET & 5TH AVENUE,37.79508,-122.254815,4,Alameda,446173,13.00846205,726.6326746,18.94137349,311.5137563,0,1,0,1,0,0,0.0114,92500,182,11676.30346,143
INTERNATIONAL BOULEVARD & 5TH AVENUE,37.79574,-122.25388,4,Alameda,463965,13.0475644,790.135159,14.15463624,356.634627,0,1,0,1,0,1,0.0127,86250,168,12055.81319,140
INTERNATIONAL BOULEVARD & 7TH AVENUE,37.79429,-122.25221,4,Alameda,888103,13.69684301,689.3547099,14.85046088,291.311411,1,0,0,1,1,1,0.0202,103750,228,12175.49498,137
E. 12TH STREET & 8TH AVENUE,37.79289,-122.2524,4,Alameda,210089,12.25528653,457.1994987,12.38930407,191.0517201,0,1,1,1,0,0,0.032,72500,197,11820.06286,144
ANITA AVENUE & PENINSULAR AVENUE,37.5777728,-122.3384128,4,San Mateo,94620,11.45762416,548.2059914,12.75336542,220.1489853,0,1,0,0,0,0,0.0041,42500,99,8096.988954,77
INTERNATIONAL BOULEVARD & 8TH AVENUE,37.79354,-122.25135,4,Alameda,1135026,13.94216612,564.8513205,11.76544745,235.3065393,1,0,1,1,1,1,0.0337,81250,203,12540.8295,144
INTERNATIONAL BOULEVARD & 10TH AVENUE,37.7921,-122.24969,4,Alameda,673922,13.42086966,387.7104484,9.213263184,142.9169829,1,0,0,1,0,1,0.0274,118750,202,11831.37493,146
INTERNATIONAL BOULEVARD & 13TH AVENUE,37.78988,-122.24726,4,Alameda,391529,12.87781487,282.497291,6.780727206,93.74785835,0,0,0,1,0,0,0.0411,43750,224,14592.03891,183
EAST 12TH STREET & 14TH AVENUE (EAST),37.788543,-122.246704,4,Alameda,30012,10.30935261,91.17482523,2.516412385,29.93682124,0,2,0,1,0,0,0.0147,73750,211,14032.12833,181
INTERNATIONAL BOULEVARD & 14TH AVENUE,37.78941,-122.24615,4,Alameda,312405,12.65205571,289.8405197,6.83112473,85.22952556,1,1,0,1,0,1,0.0409,48750,200,14305.35075,191
INTERNATIONAL BOULEVARD & 19TH AVENUE,37.78646,-122.24108,4,Alameda,237373,12.37738803,333.8854982,3.648660942,87.79140745,0,0,1,1,0,0,0.0522,27500,82,14138.3158,171
INTERNATIONAL BOULEVARD & 22ND AVENUE,37.78459,-122.23784,4,Alameda,132278,11.79266106,419.8631955,1.107770946,106.2262083,1,0,1,1,1,0,0.0549,28750,136,12847.52114,181
INTERNATIONAL BOULEVARD & 23RD AVENUE,37.78344,-122.23596,4,Alameda,450190,13.017425,463.3269208,8.170479823,128.5177901,1,0,0,1,1,1,0.0126,103750,190,13154.49622,194
INTERNATIONAL BOULEVARD & 29TH AVENUE,37.7793,-122.22913,4,Alameda,1022297,13.83756262,603.5927037,15.42357489,163.1157403,0,1,0,1,0,0,0.0119,55000,228,8481.545469,107
EAST 12TH STREET & FRUITVALE AVENUE,37.775947,-122.226679,4,Alameda,1317831,14.09149776,192.6850199,20.53343658,44.20933105,1,1,0,0,0,0,0.0124,338750,322,11228.57971,164
INTERNATIONAL BOULEVARD & FRUITVALE AVENUE,37.77764,-122.22589,4,Alameda,2338140,14.6648663,540.4041036,19.2531388,142.0021991,2,0,0,1,0,1,0.0111,386250,785,9318.880538,139
INTERNATIONAL BOULEVARD & 34TH AVENUE,37.77667,-122.22381,4,Alameda,2421352,14.69983662,506.338547,20.07902509,133.8383448,1,0,0,1,1,0,0.0101,647500,946,10617.50492,145
INTERNATIONAL BOULEVARD & 35TH AVENUE,37.77611,-122.22274,4,Alameda,1443262,14.18241639,496.5982502,20.15149073,131.0341318,0,0,0,1,0,0,0.0157,377500,765,10333.83216,140
INTERNATIONAL BOULEVARD & 36TH AVENUE,37.77574,-122.22196,4,Alameda,1172916,13.97500351,506.357369,20.71296845,134.4278451,1,0,0,1,0,0,0.0091,153750,523,9299.629397,124
INTERNATIONAL BOULEVARD & 38TH STREET,37.77481,-122.21999,4,Alameda,1446642,14.18475557,553.0554367,25.0317464,150.8950181,1,0,0,1,0,0,0.0109,140000,218,10628.44999,158
INTERNATIONAL BOULEVARD & 42ND AVENUE,37.77297,-122.21615,4,Alameda,583852,13.27740281,389.9422313,23.50384286,93.3628612,1,1,0,1,0,1,0.0448,171250,301,11231.24352,168
SAN LEANDRO BOULEVARD & HIGH STREET,37.770621,-122.217133,4,Alameda,178702,12.0934749,99.70534851,7.065685881,25.29227434,1,1,0,1,0,1,0.0102,10000,215,10753.39944,196
INTERNATIONAL BOULEVARD & HIGH STREET,37.77241,-122.21496,4,Alameda,968541,13.7835461,344.8177305,15.71623252,90.23130366,2,0,0,1,0,1,0.0098,157500,317,11558.07301,177
FOOTHILL BOUELVARD & HIGH STREET,37.774683,-122.211791,4,Alameda,470794,13.06217591,476.1418826,13.05953487,144.2517169,1,1,0,1,2,0,0.0158,78750,1098,11350.76698,129
EAST 14TH STREET & 46TH AVENUE,37.770862,-122.211711,4,Alameda,639150,13.36789445,314.6285471,5.611812493,93.6308994,1,0,0,0,0,1,0.006,58750,148,10702.12216,130
EAST 14TH STREET & SEMINARY AVENUE,37.765131,-122.19955,4,Alameda,629570,13.35279233,532.5715398,7.849245387,150.8766721,1,1,0,1,0,1,0.0126,27500,87,9919.289786,93
EAST 14TH STREET & 66TH AVENUE,37.762162,-122.193263,4,Alameda,665780,13.40871457,503.1174526,0.203957456,160.1684774,1,0,0,0,1,1,0.0116,12500,138,9430.050034,96
INTERNATIONAL BLVD & 73RD AVENUE / HEGENBERGER ROAD,37.75914,-122.1871,4,Alameda,1196623,13.99501398,548.9896547,4.327239737,148.0835865,1,0,0,0,0,0,0.0064,117500,130,12005.93574,116
BANCROFT AVENUE & 73RD AVENUE / HEGENBERGER ROAD,37.76586,-122.1771,4,Alameda,387322,12.86701167,431.8319161,2.951948116,149.6722105,1,1,0,1,0,0,0.0129,241250,456,10750.49895,120
INTERNATIONAL BLVD & 81ST AVENUE,37.75612,-122.18067,4,Alameda,384623,12.86001892,507.3711107,0.610077537,129.7419092,1,0,0,1,0,0,0.0108,62500,72,10294.6336,89
INTERNATIONAL BOULEVARD & 82ND AVENUE,37.75562,-122.17956,4,Alameda,973997,13.7891635,543.4019732,1.727953352,140.3401056,1,0,1,0,0,0,0.0062,80000,114,10292.7353,95
INTERNATIONAL BOULEVARD & 85TH AVENUE,37.75355,-122.17727,4,Alameda,539240,13.19791602,568.6449365,3.488902395,150.7152297,1,0,0,0,0,0,0.0048,51250,52,11058.60644,114
INTERNATIONAL BOULEVARD & 90TH AVENUE,37.74965,-122.17437,4,Alameda,889610,13.69853844,388.1830225,7.54052619,113.7535016,1,0,0,0,0,0,0.0076,46250,63,11359.31824,121
SAN LEANDRO STREET & 98TH AVENUE,37.739174,-122.179739,4,Alameda,56113,10.93512281,221.0931736,2.133643865,55.04697226,0,1,0,1,0,0,0.007,55000,81,7037.700081,88
E. 14TH STREET & 98TH AVENUE,37.74437,-122.17056,4,Alameda,980870,13.79619521,576.0569981,2.972083878,174.2022786,1,0,0,1,0,0,0.008,128750,161,10047.97978,111
BANCORFT AVENUE & 98TH AVENUE,37.74849,-122.16195,4,Alameda,439729,12.99391391,360.9305083,0,107.7506722,0,2,0,1,0,1,0.0118,1250,4,10365.4825,105
INTERNATIONAL BLVD & 105TH AVENUE,37.73933,-122.16676,4,Alameda,214181,12.27457674,481.7389033,0.210238786,152.0175075,1,0,0,1,0,0,0.0044,42500,62,9321.87045,113
E. 14TH STREET & DURANT AVE,37.735916,-122.164203,4,Alameda,70939,11.16957565,351.5090878,8.388387368,142.5857759,1,0,0,0,0,0,0.0053,331250,163,9751.587385,102
EAST 14TH STREET & BROADMOOR,37.734978,-122.163526,4,Alameda,234644,12.36582476,341.1330195,5.018641538,148.5386143,1,0,0,1,0,0,0.0056,280000,169,8728.833285,93
E. 14TH STREET & DUTTON AVENUE,37.730822,-122.16041,4,Alameda,369702,12.82045256,340.3663982,2.37605664,122.5486731,1,0,0,1,0,0,0.0079,48750,128,8456.80441,87
BANCROFT AVENUE & DUTTON AVENUE,37.73364,-122.151,4,Alameda,227192,12.33355076,332.9295683,3.676260219,128.7411611,0,1,0,1,0,0,0.0104,82500,205,10772.52503,99
E. 14TH STREET & HAAS AVENUE,37.72837,-122.158637,4,Alameda,221002,12.30592703,385.2757796,3.234719575,136.5639022,1,0,0,1,1,0,5.00E-04,127500,686,9003.539891,105
BANCROFT AVENUE & HAAS AVENUE,37.73074,-122.14944,4,Alameda,188261,12.14558458,346.214483,4.62997528,139.2553348,0,1,0,1,0,0,0.085,0,0,11319.83805,108
SAN LEANDRO BLVD & DAVIS STREET,37.723935,-122.161393,4,Alameda,358121,12.7886262,124.1957612,12.09607641,67.51298459,1,1,0,1,0,1,0.0077,165000,451,9331.001546,108
HAYS STREET & DAVIS STREET,37.725298,-122.158039,4,Alameda,214170,12.27452538,185.1487295,9.778140522,84.84353417,1,0,0,1,0,0,0.008,4.00E+05,587,10052.15151,137
E. 14TH STREET & DAVIS STREET / CALLAN AVENUE,37.72571,-122.15691,4,Alameda,428340,12.96767255,286.0366208,6.67112542,142.4321482,1,1,0,1,0,0,0.0084,547500,735,9598.519163,125
BANCROFT AVENUE & CALLAN AVENUE,37.7281,-122.14837,4,Alameda,425957,12.96209368,370.3533976,0.801170262,160.8626366,0,2,0,0,1,0,0.011,6250,114,9699.499816,102
E. 14TH STREET & ESTUDILLO AVENUE,37.724998,-122.155837,4,Alameda,418791,12.94512727,297.0524681,7.281669909,138.8315039,1,0,0,1,0,0,0.007,818750,1014,10423.18651,133
E. 14TH STREET & SAN LEANDRO BOULEVARD,37.71539,-122.142884,4,Alameda,656152,13.39414775,375.8950057,7.029243073,170.5142575,1,1,0,0,0,0,0.012,673750,608,8361.651044,111
HOPE STREET & 9TH STREET,34.045124,-118.260367,7,Los Angeles,4949138,15.41472398,402.1288542,30.27982475,238.2056079,0,2,0,1,0,1,0.0093,541250,830,7950.744477,89
HOPE STREET & OLYMPIC BOULEVARD,34.043691,-118.261707,7,Los Angeles,3415088,15.04371382,742.5715648,33.52830331,433.5432259,1,1,0,1,0,1,0.0067,1090000,1583,8695.137084,98
CLARKE STREET & 51ST STREET,37.837084,-122.2609,4,Alameda,111886,11.62523578,326.0897597,5.067121266,176.0153458,0,1,0,1,0,0,0.0112,286250,313,10823.01394,161
Ellis St & Cyril Magnin St,37.78539,-122.40871,4,San Francisco,11105360,16.22293843,1272.734148,81.31557779,876.1769416,0,1,0,1,0,1,0.0565,4045000,5885,11251.01794,144
Geary St & Grant St,37.7878,-122.40506,4,San Francisco,15102346,16.53036065,243.7201075,60.31534801,164.5034867,1,0,0,1,0,1,0.0252,7978750,7769,12455.93723,190
Post St & Kearny St,37.78889,-122.40371,4,San Francisco,21341956,16.87618546,245.093244,59.85356854,164.7383749,1,1,0,1,0,1,0.0324,8301250,11470,12358.49685,204
Market St & 6th St / Golden Gate Ave,37.78224,-122.41038,4,San Francisco,9721399,16.0898401,2121.806222,317.6809868,1212.965169,1,1,0,0,0,1,0.0271,1210000,1315,12312.53212,139
Market & Hyde St,37.77874,-122.4148,4,San Francisco,21187595,16.86892643,938.2206605,134.9985864,502.6516436,1,0,0,0,0,1,0.0145,742500,2602,11096.13235,123
Market St & Mason St,37.78319,-122.40914,4,San Francisco,6667256,15.71271894,1678.815874,199.7174411,1016.548069,1,0,0,0,0,1,0.0127,1451250,1569,10619.39424,128
Market St & Montgomery St,37.78883,-122.40204,4,San Francisco,23564375,16.9752466,224.2998805,66.84618644,161.1813888,1,1,0,1,0,0,0.0332,12042500,15270,13513.16946,210
Market St & O'Farrell St,37.78673,-122.40468,4,San Francisco,12873193,16.37065765,220.9359955,67.13582015,159.8794786,1,0,0,1,0,1,0.0228,5228750,6426,11235.38131,165
McAllister St & Leavenworth St,37.78097,-122.41369,4,San Francisco,5546849,15.52874058,1801.178606,229.3902679,1003.741809,0,1,0,1,1,1,0.0677,897500,1351,10085.43078,109
Mission St & 2nd St,37.788,-122.39983,4,San Francisco,31343124,17.26050547,196.8212497,76.08698931,156.4807893,1,0,1,1,0,1,0.0157,7320000,13329,14194.98268,223
Mission St & 3rd St,37.78629,-122.40208,4,San Francisco,21417002,16.87969565,196.8212379,76.08698475,156.48078,2,0,0,1,0,1,0.0302,1160000,2276,11766.35202,165
Mission St & 4th St,37.78446,-122.40431,4,San Francisco,34787649,17.36477297,94.61065745,36.57450653,75.21926814,2,0,0,1,0,1,0.0083,942500,3171,11197.18506,133
Mission St & 5th St,37.78275,-122.40654,4,San Francisco,15390795,16.54928016,335.1089983,63.36692815,180.6076117,1,1,0,1,0,1,0.0112,6046250,8852,11660.86149,131
Mission St & 6th St,37.781,-122.40871,4,San Francisco,8457233,15.95053261,1490.102212,340.4661651,904.0231111,1,1,0,1,0,1,0.0326,952500,1359,12723.01733,134
Mission St & 7th St,37.77924,-122.41099,4,San Francisco,7916890,15.88450901,1331.048786,293.0308129,826.0973191,1,1,0,1,0,1,0.0208,547500,1010,11793.12066,126
Mission St & 8th St,37.77744,-122.41322,4,San Francisco,10138408,16.13184154,1062.572427,165.5615735,586.4734046,1,1,0,1,0,1,0.0213,536250,1062,11765.51143,146
Mission St & 9th St,37.77625,-122.41476,4,San Francisco,5422024,15.50597974,943.9770494,93.87868237,485.9145714,2,0,0,1,0,1,0.0191,1102500,2932,11328.13086,138
Mission St & New Montgomery St,37.78743,-122.40051,4,San Francisco,7877330,15.87949957,196.8212566,76.08699198,156.4807948,1,1,0,1,0,1,0.0144,4651250,5579,13223.76135,202
Hayes St & Polk St,37.77752,-122.41807,4,San Francisco,3550668,15.08264631,438.8453088,38.43657266,273.3184545,0,1,1,1,0,1,0.011,841250,2183,11304.93504,146
Turk St & Hyde St,37.78259,-122.41568,4,San Francisco,4868237,15.39824242,3799.907945,653.8503015,2020.498232,0,2,0,1,0,1,0.0249,460000,847,10800.02596,121
Market St & 3rd St,37.78766,-122.40348,4,San Francisco,25591490,17.05777043,222.7121934,67.38012488,160.9098054,2,0,0,1,0,1,0.0247,5728750,7382,12719.6099,190
Market St & 5th St / Cyril Magnin St,37.78402,-122.40809,4,San Francisco,27884623,17.14358595,1105.101574,105.8375292,727.5797812,1,1,0,1,0,1,0.0224,6901250,6779,11377.10833,139
4TH STREET & KING STREET,37.7763414,-122.3940446,4,San Francisco,4697720,15.36258784,433.3616438,44.30820466,204.0170663,2,0,0,1,0,1,7.00E-04,1288750,2536,9156.804276,99
CATALINA AVENUE & FRANCISCA AVENUE,33.850071,-118.391478,7,Los Angeles,60370,11.00824759,117.396712,9.22768915,47.67639394,0,1,0,1,0,0,0.0336,231250,312,7895.596659,83
CATALINA AVENUE & BERYL STREET,33.846418,-118.391934,7,Los Angeles,240759,12.39155172,199.0365117,15.31105704,119.9384366,0,2,0,1,0,0,0.0439,183750,329,6458.360182,59
CRENSHAW BOULEVARD & 39TH STREET,34.014608,-118.335312,7,Los Angeles,658117,13.39713801,202.7652476,0,125.1447657,1,1,0,0,0,1,0.0069,557500,622,10794.49894,84
CRENSHAW BOULEVARD & MARTIN LUTHER KING BOULEVARD,34.0109253,-118.3350844,7,Los Angeles,2164174,14.58754932,244.405643,0.094176346,133.7660484,2,0,0,1,0,1,0.0069,1260000,678,10249.07815,114
CRENSHAW BOULEVARD & STOCKER STREET,34.008465,-118.335095,7,Los Angeles,924061,13.73653337,268.3564808,0.088763722,155.7847781,1,1,0,1,0,1,0.0258,76250,150,11986.11842,133
MARLTON AVENUE & MARTIN LUTHER KING BOULEVARD,34.012397,-118.3377003,7,Los Angeles,455152,13.02838671,252.7557384,0.075573885,150.1376741,1,0,1,1,0,0,0.0046,877500,612,9827.932494,77
MARLTON AVENUE & SANTA ROSALIA DRIVE,34.010428,-118.339805,7,Los Angeles,494310,13.11091813,388.5722673,0.157656854,210.7712372,0,1,1,1,0,0,0.0199,81250,143,8930.709833,68
STOCKER STREET & SANTA ROSALIA DRIVE/ANGELES VISTA BOULEVARD,34.0071264,-118.337345,7,Los Angeles,204276,12.2272273,290.0436546,0.139030958,131.0677781,1,0,0,1,0,0,0.0348,396250,313,9722.292685,88
STOCKER BOULEVARD & FELIPE DRIVE,34.0058663,-118.3392997,7,Los Angeles,320868,12.67878511,303.2981712,0.080307246,130.6105284,1,0,1,0,0,0,0.0334,176250,262,10549.05857,63
CRENSHAW BOULEVARD & 43RD STREET,34.005364,-118.33376,7,Los Angeles,319904,12.67577623,310.7309029,0,175.5066974,1,0,0,1,0,1,0.018,167500,317,14495.23416,161
LIEMERT BOULEVARD & 43RD STREET,34.0053733,-118.3296507,7,Los Angeles,317013,12.66669806,364.3652128,0,217.8836173,1,0,0,1,0,0,0.0045,71250,191,13909.92526,175
CRENSHAW BOULEVARD & VERNON/ANGELES VISTA,34.0036259,-118.331956,7,Los Angeles,700514,13.45956963,341.2644977,1.676565659,182.9670838,1,1,0,1,0,1,0.0353,266250,459,14327.30572,141
LIEMERT BOULEVARD & VERNON AVENUE,34.0036412,-118.3307346,7,Los Angeles,467330,13.05479093,349.2086618,2.96558749,204.1883255,1,1,0,1,1,0,0.0195,255000,581,14089.21478,144
CRENSHAW BOULEVARD & 48TH STREET,34.000009,-118.330864,7,Los Angeles,310268,12.64519172,254.5560166,3.007469467,116.3220693,1,1,0,1,0,1,0.038,52500,201,9435.317211,86
CRENSHAW BOULEVARD & RODEO ROAD,34.021435,-118.335098,7,Los Angeles,559833,13.23539381,192.6932557,1.081385954,94.38659822,1,1,0,1,0,1,0.003,85000,256,10876.76659,102
CRENSHAW & COLISEUM,34.0181912,-118.3350946,7,Los Angeles,314123,12.65753991,190.1800515,0.535168135,107.7859399,1,1,0,1,0,1,0.0022,238750,341,10976.6692,88
COLISEUM STREET & 7TH AVENUE / RODEO ROAD,34.019125,-118.325197,7,Los Angeles,146462,11.89452129,299.5848654,5.264974224,105.1978035,0,1,0,0,0,1,0.0057,3750,6,10871.72409,80
LEIMERT BLVD. & MARTIN LUTHER KING BLVD.,34.0105733,-118.322994,7,Los Angeles,203191,12.22190171,371.0714289,4.402299845,170.9373658,1,0,0,1,0,1,0,31250,67,12176.64926,123
MARTIN LUTHER KING BOULEVARD & BUCKINGHAM ROAD,34.014784,-118.3417546,7,Los Angeles,327613,12.69958832,327.6381365,0,162.4601586,1,0,0,1,0,0,0.0056,95000,223,11999.54352,92
MARTIN LUTHER KING BOULEVARD & COLISEUM STREET,34.0174333,-118.3459671,7,Los Angeles,1572543,14.26820461,948.4952701,4.852608066,385.544577,1,1,0,1,0,0,0.0061,13750,68,9962.071358,74
HARBOR BOULEVARD & CHAPMAN AVENUE,33.7888101,-117.914885,12,Orange,448032,13.01261994,401.0720708,2.839831382,97.14483809,2,0,0,1,0,1,0.0076,550000,1530,5870.459259,57
HARBOR BOULEVARD & ORANGEFAIR AVENUE,33.856328,-117.924186,12,Orange,173942,12.0664772,169.6281631,0.38024146,68.13523198,1,0,0,1,0,0,0.0064,798750,533,8395.968733,91
LEMON AVENUE & ORANGEFAIR AVENUE,33.856329,-117.919896,12,Orange,155493,11.954356,148.9609386,2.480342804,46.76314525,0,2,0,0,0,1,0.0301,363750,448,9588.352525,82
RAYMOND AVENUE & ORANGETHROPE AVENUE,33.859563,-117.906809,12,Orange,77746,11.26120239,45.34025475,0.340264576,8.995744727,1,1,0,1,0,1,0.0097,166250,233,5444.699116,58
GALE AVENUE & WILSHIRE BOULEVARD,34.06467,-118.37411,7,Los Angeles,1044956,13.85948534,313.4761215,6.801646327,141.9796914,1,0,0,1,0,1,0.0063,3948750,4413,11645.685,138
LA CIENEGA BOULEVARD & 3RD STREET,34.073382,-118.37649,7,Los Angeles,2747189,14.82608877,376.1012452,34.30057393,205.3707448,1,1,0,1,0,1,0.0088,1076250,1094,13689.36023,183
LA CIENEGA BOULEVARD & WILSHIRE BOULEVARD,34.065175,-118.376167,7,Los Angeles,2120547,14.56718463,290.0100554,7.306751126,132.2434271,2,0,0,1,1,1,0.0059,2425000,2821,11306.16445,123
LA CIENEGA BOULEVARD & GREGORY WAY,34.062666,-118.376106,7,Los Angeles,1076533,13.88925625,411.6428711,5.931974001,184.7749924,1,0,0,1,0,1,0.0052,621250,669,10498.45267,126
CANON DRIVE & WILSHIRE BOULEVARD,34.067036,-118.396943,7,Los Angeles,736915,13.51022783,344.6593344,23.45245793,196.7333169,1,0,0,0,0,0,0.0134,1375000,2564,15341.16976,177
BEVERLY DRIVE & DAYTON WAY,34.068494,-118.400508,7,Los Angeles,1711631,14.35295728,152.4464576,11.64628338,82.12001247,0,1,0,1,0,0,0.0199,1737500,2966,12069.57499,156
BEVERLY DRIVE & WILSHILE BOULEVARD,34.067056,-118.399077,7,Los Angeles,3019142,14.92048324,265.8556086,18.42265947,140.5731705,1,0,0,1,0,1,0.0177,3026250,4864,13901.28738,154
RODEO DRIVE & WILSHILE BOULEVARD,34.067069,-118.401229,7,Los Angeles,2723014,14.81724991,192.0928509,13.7109291,87.82733634,1,0,0,0,0,1,0.0154,2706250,4521,14269.26947,158
CAMDEN DRIVE&DAYTON WAY / WILSHILE BOULEVARD,34.067076,-118.402651,7,Los Angeles,2203940,14.60575723,202.1136418,12.55409485,98.54638683,1,0,0,1,0,1,0.0151,3121250,3954,13009.92383,146
CENTURY PARK EAST & SANTA MONICA BOULEVARD,34.062844,-118.415813,7,Los Angeles,385879,12.86327913,133.4481108,0.526259296,67.35585506,0,2,0,0,0,1,0.0077,2348750,3483,6437.507077,56
AVENUE OF THE STARS & SANTA MONICA BOULEVARD,34.061157,-118.418277,7,Los Angeles,981074,13.79640317,133.5724132,0.524758355,67.37496557,0,1,0,1,0,1,0.022,581250,727,7478.984958,80
CAHUENGA BOULEVARD & SELMA AVENUE,34.099774,-118.329521,7,Los Angeles,1372908,14.13244168,320.9147611,9.920441931,205.3300772,1,0,1,1,0,1,0.0251,711250,1709,8487.790565,67
AVE OF THE STARS & CONSTELLATION BOULEVARD,34.058703,-118.415845,7,Los Angeles,1913736,14.46456791,110.9512196,0,62.247083,0,2,0,1,0,1,0.0285,1466250,5868,8339.302634,118
CENTURY PARK WEST & SANTA MONICA BOULEVARD,34.059084,-118.421294,7,Los Angeles,649303,13.38365476,180.1522462,3.707578347,75.84771137,0,2,0,0,0,1,0.0501,213750,333,10894.64685,116
WESTWOOD BOULEVARD & WEBURN AVENUE,34.062574,-118.445377,7,Los Angeles,8932192,16.00517239,397.4023114,61.15448286,205.0996133,0,1,1,1,0,1,0.0177,770000,1002,7824.498589,72
WESTWOOD BOULEVARD & LINDBROOK DRIVE,34.059612,-118.444672,7,Los Angeles,6191164,15.63863367,438.109918,74.77856731,225.5889231,0,2,0,1,0,1,0.0283,1430000,2743,8753.800099,84
WESTWOOD BOULEVARD & WILSHIRE BOULEVARD,34.058754,-118.443964,7,Los Angeles,5252807,15.47427316,586.5183114,86.89663151,322.4657037,1,1,0,0,0,1,0.0368,3262500,3085,9560.76358,89
GAYLEY AVENUE & LE CONTE AVENUE,34.063639,-118.448223,7,Los Angeles,2742452,14.82436297,788.608882,159.7301815,283.6394323,0,1,0,1,0,1,0.016,225000,468,8125.412191,70
GAYLEY AVENUE & LINDBROOK DRIVE,34.059335,-118.445715,7,Los Angeles,1624682,14.30082266,674.2624133,132.3672779,311.5750834,0,2,0,0,0,1,0.019,738750,824,8863.216364,89
GAYLEY AVENUE&MIDVALE / WILSHIRE BOULEVARD,34.058379,-118.445516,7,Los Angeles,4176330,15.24494343,772.9727678,135.7153817,385.8449287,1,1,0,1,0,1,0.0241,3213750,3990,9196.185655,86
